Index,Latitude,Longitude
1, 38.726082, -9.149874
2, 38.726082, -9.149976
3, 38.726079, -9.149874
4, 38.726124, -9.150072
5, 38.726095, -9.150103
6, 38.726122, -9.150228
7, 38.726085, -9.150225
8, 38.726115, -9.150298
9, 38.726062, -9.150355
10, 38.726088, -9.150300
11, 38.726088, -9.150393
12, 38.726017, -9.150496
13, 38.726057, -9.150485
14, 38.726033, -9.150493
15, 38.726034, -9.150556
16, 38.726015, -9.150549
17, 38.726029, -9.150571
18, 38.726037, -9.150507
19, 38.726079, -9.150378
20, 38.726099, -9.150280
21, 38.726080, -9.149855
22, 38.726112, -9.149946
23, 38.726096, -9.150124
24, 38.725823, -9.150808
25, 38.725849, -9.150816
26, 38.725782, -9.150882
27, 38.725768, -9.150856
28, 38.725955, -9.150653
29, 38.725987, -9.150654
30, 38.725923, -9.150716
31, 38.725905, -9.150721
32, 38.725917, -9.150750
